CUSTOMER_CODE,LOAN_ID,PREDICTION,SCORING_DATE
18032585,7953123,0.590201591,20251201
79656043,9290673,0.853274508,20251201
49499059,5859243,0.723734418,20251201
48971370,1585465,0.862088392,20251201
87273811,5824558,0.770114997,20251201
17735107,5151183,0.812631004,20251201
72763121,7470005,0.833019337,20251201
18475961,3238263,0.62872728,20251201
57383107,7278833,0.522692033,20251201
97806010,4974882,0.63753987,20251201
76217712,7030518,0.587733465,20251201
78502572,4777918,0.775912033,20251201
74572954,4439211,0.735041926,20251201
80745786,2928375,0.83634418,20251201
56190391,8456882,0.67059997,20251201
21530226,1618080,0.617704961,20251201
85577339,3125825,0.730537624,20251201
50534733,4840043,0.881311275,20251201
55031671,2401587,0.504608475,20251201
43371821,9250520,0.384751721,20251201
26429467,4106459,0.322227734,20251201
93408848,3181597,0.70052075,20251201
80341070,3284480,0.368159349,20251201
67947860,2725101,0.861575822,20251201
46217292,6968641,0.61393384,20251201
84048544,5331505,0.581052804,20251201
59088620,3079160,0.735703476,20251201
49907277,8859780,0.328844134,20251201
50541359,6908407,0.717413741,20251201
30451484,4626138,0.372809147,20251201
18292232,5619004,0.772537355,20251201
59912630,6905926,0.40317806,20251201
15743552,2372050,0.595903982,20251201
87246215,8275345,0.65633033,20251201
84486804,3325566,0.80753065,20251201
34908372,1266295,0.520279814,20251201
66849795,5695540,0.750063534,20251201
24870616,8887817,0.624926461,20251201
78227895,3776161,0.580491983,20251201
73047066,4584264,0.201902922,20251201
41907336,6363567,0.694222186,20251201
16112800,3095493,0.497401284,20251201
97362821,8380655,0.636525601,20251201
50111873,3655703,0.664452097,20251201
90380900,2950134,0.813161279,20251201
71012710,1856054,0.332903811,20251201
80054513,7239406,0.745428927,20251201
78390948,1226345,0.698885365,20251201
27517483,8249221,0.860763934,20251201
42751542,9758162,0.448328139,20251201
52004889,2000021,0.539064774,20251201
54801238,1867689,0.501657184,20251201
13942338,9410567,0.861252916,20251201
59191254,2123985,0.792875349,20251201
23886054,4668642,0.410122084,20251201
76903830,8838675,0.691511088,20251201
71474405,2250861,0.812756376,20251201
93027504,6971546,0.768384993,20251201
77028593,4443531,0.812804082,20251201
42997838,4924652,0.411078027,20251201
97075874,9379564,0.841559112,20251201
46976531,6841210,0.595085481,20251201
39324281,3874990,0.338782772,20251201
91498217,9414862,0.649650952,20251201
43341373,6226876,0.445217992,20251201
16870886,1894395,0.756824646,20251201
52260022,4533573,0.380877692,20251201
81611196,6781934,0.788582357,20251201
27052422,8742702,0.722323916,20251201
51664650,1351956,0.855091341,20251201
21692935,8025753,0.389425121,20251201
71783038,9246814,0.272746035,20251201
52813442,9948309,0.85630523,20251201
39717669,6950610,0.303744243,20251201
30421841,3825179,0.425861675,20251201
60804989,2307879,0.594073973,20251201
70283258,9503976,0.473932078,20251201
94627547,4712538,0.354210023,20251201
49343672,4093199,0.862569824,20251201
24461934,7605721,0.221861832,20251201
84941036,7435838,0.708894703,20251201
66678786,8284194,0.726234848,20251201
73023858,8944685,0.082369172,20251201
18750396,8893184,0.793677316,20251201
38112997,2537038,0.283799459,20251201
79105951,2526501,0.793738737,20251201
84903381,2850747,0.45562434,20251201
49169499,6645734,0.95112371,20251201
82428791,6228627,0.514922518,20251201
85752267,8715289,0.518214608,20251201
44873053,8594422,0.618361913,20251201
90827885,8320330,0.593012756,20251201
35949529,1710545,0.681500771,20251201
31560200,7260433,0.405588467,20251201
71424594,8657926,0.570101135,20251201
67308563,9841523,0.804425548,20251201
22577723,4088084,0.755659084,20251201
84946306,7990409,0.481431272,20251201
82440919,4656039,0.813962064,20251201
10662604,2447021,0.618418743,20251201
81715831,4058749,0.60392952,20251201
80823193,3260956,0.55529596,20251201
80232787,9203318,0.415738836,20251201
69836576,2580737,0.684776055,20251201
52441042,2177148,0.765322402,20251201
73464883,6217859,0.624458227,20251201
34940945,6168469,0.623487585,20251201
60008225,6049961,0.676350699,20251201
51302419,2332972,0.670030943,20251201
55504562,5487051,0.590687175,20251201
61186707,9357350,0.904876968,20251201
13353608,1808269,0.7153508,20251201
22581729,8181381,0.796925999,20251201
32093304,2132057,0.866358198,20251201
20307706,3104373,0.818163747,20251201
49565221,9083261,0.901115754,20251201
70156265,3680004,0.779315928,20251201
68898596,5701730,0.385420562,20251201
52398658,4433637,0.27427825,20251201
86957199,6528223,0.632010349,20251201
17127766,4648758,0.995177145,20251201
78849896,4994453,0.504537008,20251201
61714055,8356084,0.650087334,20251201
