CUSTOMER_CODE,LOAN_ID,LABEL,SCORING_DATE
22913082,3301043,1,20260101
91528755,5585556,0,20260101
18431900,9150394,1,20260101
37458122,4879051,1,20260101
69812031,7601934,1,20260101
32398995,9404501,1,20260101
92019868,7247586,0,20260101
40915964,6489658,1,20260101
66491386,2796853,1,20260101
90130638,2989152,1,20260101
55445946,9140557,1,20260101
48940050,8595088,0,20260101
45870201,4003650,0,20260101
70062970,7570928,1,20260101
42515168,2254052,0,20260101
58820939,6640260,0,20260101
41028600,8123132,1,20260101
61539075,2308321,1,20260101
16547914,7843495,1,20260101
28014638,8255960,1,20260101
95803638,4311907,1,20260101
49385676,9027761,0,20260101
36678842,9818427,1,20260101
91966824,8760495,0,20260101
36143652,7900202,1,20260101
47171643,3113612,1,20260101
42456268,9456038,1,20260101
78019005,4160688,1,20260101
77729038,6034155,1,20260101
67084685,4949734,1,20260101
24740762,7510426,0,20260101
77948933,9780837,1,20260101
39065829,8134451,0,20260101
99255332,2214697,1,20260101
96362156,2067699,0,20260101
16596656,2884265,1,20260101
66412955,7525562,0,20260101
82842400,5577284,0,20260101
66606906,6020635,1,20260101
65398520,2273127,1,20260101
11102303,6133794,1,20260101
72135388,6085795,0,20260101
12303298,1119136,1,20260101
40194774,4330905,0,20260101
88833956,6479358,0,20260101
34999953,7478428,0,20260101
86111391,8109603,1,20260101
23016180,7542331,0,20260101
39605786,5320182,1,20260101
48133504,5622341,1,20260101
18623588,4010089,0,20260101
86358385,2422025,1,20260101
71731705,5994574,1,20260101
13665594,5831418,1,20260101
80440499,6594968,1,20260101
38661364,2239638,0,20260101
36633333,5273068,0,20260101
85812298,5057787,1,20260101
48698154,2727838,0,20260101
97031972,9528879,1,20260101
59340143,9723898,1,20260101
43773493,4786882,1,20260101
38462585,5649774,1,20260101
28602757,1600611,1,20260101
12936457,3377818,0,20260101
61922151,8040552,0,20260101
73339035,9309564,1,20260101
94397923,4482771,1,20260101
61292191,7172061,1,20260101
57357505,4729866,0,20260101
54096149,4097506,1,20260101
58561274,2952094,0,20260101
78716482,5827427,1,20260101
63848668,2448718,1,20260101
35179957,2564036,1,20260101
97858694,4155626,1,20260101
74909367,6627220,0,20260101
28135701,7796832,1,20260101
73326630,8148564,1,20260101
26176042,2363538,0,20260101
46416515,9794343,1,20260101
25061302,5243043,1,20260101
73977478,7773905,1,20260101
57084469,9609924,1,20260101
