CUSTOMER_CODE,LOAN_ID,LABEL,SCORING_DATE
18032585,7953123,1,20251201
79656043,9290673,1,20251201
49499059,5859243,1,20251201
48971370,1585465,1,20251201
87273811,5824558,1,20251201
17735107,5151183,1,20251201
72763121,7470005,1,20251201
18475961,3238263,0,20251201
57383107,7278833,0,20251201
97806010,4974882,1,20251201
76217712,7030518,1,20251201
78502572,4777918,1,20251201
74572954,4439211,0,20251201
80745786,2928375,0,20251201
56190391,8456882,1,20251201
21530226,1618080,1,20251201
85577339,3125825,0,20251201
50534733,4840043,1,20251201
55031671,2401587,0,20251201
43371821,9250520,0,20251201
26429467,4106459,1,20251201
93408848,3181597,1,20251201
80341070,3284480,0,20251201
67947860,2725101,1,20251201
46217292,6968641,0,20251201
84048544,5331505,1,20251201
59088620,3079160,1,20251201
49907277,8859780,0,20251201
50541359,6908407,1,20251201
30451484,4626138,0,20251201
18292232,5619004,0,20251201
59912630,6905926,0,20251201
15743552,2372050,0,20251201
87246215,8275345,1,20251201
84486804,3325566,1,20251201
34908372,1266295,1,20251201
66849795,5695540,0,20251201
24870616,8887817,0,20251201
78227895,3776161,0,20251201
73047066,4584264,1,20251201
41907336,6363567,1,20251201
16112800,3095493,1,20251201
97362821,8380655,0,20251201
50111873,3655703,1,20251201
90380900,2950134,1,20251201
71012710,1856054,1,20251201
80054513,7239406,1,20251201
78390948,1226345,0,20251201
27517483,8249221,1,20251201
42751542,9758162,1,20251201
52004889,2000021,0,20251201
54801238,1867689,0,20251201
13942338,9410567,1,20251201
59191254,2123985,1,20251201
23886054,4668642,1,20251201
76903830,8838675,1,20251201
71474405,2250861,0,20251201
93027504,6971546,1,20251201
77028593,4443531,1,20251201
42997838,4924652,0,20251201
97075874,9379564,1,20251201
46976531,6841210,1,20251201
39324281,3874990,1,20251201
91498217,9414862,1,20251201
43341373,6226876,1,20251201
16870886,1894395,1,20251201
52260022,4533573,1,20251201
81611196,6781934,0,20251201
27052422,8742702,0,20251201
51664650,1351956,1,20251201
21692935,8025753,1,20251201
71783038,9246814,0,20251201
52813442,9948309,1,20251201
39717669,6950610,1,20251201
30421841,3825179,0,20251201
60804989,2307879,0,20251201
70283258,9503976,1,20251201
94627547,4712538,0,20251201
49343672,4093199,1,20251201
24461934,7605721,0,20251201
84941036,7435838,1,20251201
66678786,8284194,0,20251201
73023858,8944685,0,20251201
18750396,8893184,0,20251201
38112997,2537038,0,20251201
79105951,2526501,1,20251201
84903381,2850747,0,20251201
49169499,6645734,1,20251201
82428791,6228627,1,20251201
85752267,8715289,1,20251201
44873053,8594422,0,20251201
90827885,8320330,1,20251201
35949529,1710545,0,20251201
31560200,7260433,0,20251201
71424594,8657926,1,20251201
67308563,9841523,0,20251201
22577723,4088084,1,20251201
84946306,7990409,1,20251201
82440919,4656039,1,20251201
10662604,2447021,0,20251201
81715831,4058749,1,20251201
80823193,3260956,1,20251201
80232787,9203318,1,20251201
69836576,2580737,1,20251201
52441042,2177148,1,20251201
73464883,6217859,0,20251201
34940945,6168469,0,20251201
60008225,6049961,1,20251201
51302419,2332972,1,20251201
55504562,5487051,0,20251201
61186707,9357350,1,20251201
13353608,1808269,0,20251201
22581729,8181381,0,20251201
32093304,2132057,1,20251201
20307706,3104373,1,20251201
49565221,9083261,1,20251201
70156265,3680004,0,20251201
68898596,5701730,0,20251201
52398658,4433637,1,20251201
86957199,6528223,1,20251201
17127766,4648758,1,20251201
78849896,4994453,0,20251201
61714055,8356084,1,20251201
67124648,5987086,0,20251201
60883598,6080799,0,20251201
59822145,8250200,0,20251201
18150978,4851543,1,20251201
60328643,8412178,1,20251201
81542134,7475001,0,20251201
37355508,8953598,1,20251201
64255441,5120783,1,20251201
12773605,6027965,1,20251201
41274927,2154160,1,20251201
49304564,2002077,1,20251201
98446454,1967402,1,20251201
29312620,6697059,1,20251201
34889349,3933609,0,20251201
46767577,3600222,1,20251201
99339904,6425831,0,20251201
86806275,4585487,0,20251201
13122366,2213571,1,20251201
31054553,6017015,0,20251201
83950699,5951206,1,20251201
15247246,2257179,1,20251201
87010375,3426486,1,20251201
35324549,3135422,0,20251201
92588690,7258720,0,20251201
36423437,3242197,1,20251201
49088512,1254364,1,20251201
69572485,3400821,0,20251201
21365266,5221210,1,20251201
60132893,7924599,0,20251201
55451394,1470377,0,20251201
80550838,8930970,0,20251201
99649620,3974569,1,20251201
69788217,4083646,1,20251201
46826779,1140176,1,20251201
46574817,3487142,1,20251201
47616286,5221888,1,20251201
83261833,6634877,0,20251201
38909415,7903142,0,20251201
25027562,5704456,1,20251201
40086229,1901980,1,20251201
12044086,4522850,1,20251201
19552832,7617003,1,20251201
18104307,6755928,1,20251201
79439716,6257756,0,20251201
75012340,5575187,1,20251201
72709370,5541446,1,20251201
51568950,9937256,1,20251201
74535265,6395348,1,20251201
24514459,6373890,0,20251201
91055950,4023073,0,20251201
55094029,5410331,0,20251201
94424624,7393055,1,20251201
23708089,8722206,1,20251201
54759706,8016991,1,20251201
72668833,6961045,1,20251201
54606327,8004014,1,20251201
50154064,1296454,1,20251201
24959268,3425137,1,20251201
44291909,3187644,0,20251201
31488963,6885162,0,20251201
37136087,7780128,0,20251201
71533058,2332861,0,20251201
66725432,2736320,0,20251201
64647678,5458776,1,20251201
42563134,9714762,1,20251201
96372331,1023663,1,20251201
17888492,8915126,0,20251201
40833169,2742280,1,20251201
20620531,3416656,1,20251201
40504942,6685606,1,20251201
96570788,7558971,1,20251201
42963717,8869252,1,20251201
91772261,1049479,0,20251201
54555908,1441254,0,20251201
72973641,5304093,1,20251201
51167573,6026974,1,20251201
33928296,3347639,0,20251201
97225872,6730974,1,20251201
33717237,3387220,1,20251201
80087580,9391517,1,20251201
33502599,2596858,1,20251201
74520116,6896293,1,20251201
81010589,5772877,0,20251201
50442534,1927294,1,20251201
76322763,6443523,1,20251201
34501740,2320698,0,20251201
17132816,5856259,1,20251201
18675186,6721876,0,20251201
50232134,1649583,0,20251201
91234214,2940576,1,20251201
21481916,3661324,1,20251201
51019865,9354748,1,20251201
73362884,2990499,0,20251201
28212702,9286183,1,20251201
74945475,5805831,1,20251201
37536095,9537901,1,20251201
82779466,8481563,1,20251201
62129760,3636573,1,20251201
59221653,6037924,0,20251201
25909550,7452548,0,20251201
51688531,1705300,1,20251201
87095284,6967124,1,20251201
11757159,5136996,0,20251201
78266756,1320433,0,20251201
54348614,8803129,1,20251201
74751665,3390085,1,20251201
69696820,8867704,1,20251201
48888373,2860900,1,20251201
37780047,5874933,1,20251201
66457795,4337277,0,20251201
22620184,9036961,1,20251201
62568816,9577482,0,20251201
18522522,7930562,1,20251201
68486193,8610413,0,20251201
66587075,7920219,0,20251201
17599988,3640821,1,20251201
78173909,9283598,1,20251201
47422665,5770283,1,20251201
80819780,4091253,1,20251201
13745275,2730394,1,20251201
26151084,7387938,1,20251201
54459173,3496905,0,20251201
26940265,6874061,1,20251201
39687508,1585029,0,20251201
69453913,6713264,1,20251201
23007176,6783457,1,20251201
70993264,5722512,0,20251201
19306266,6912286,0,20251201
25766665,9944047,1,20251201
62888010,8546513,1,20251201
81413490,4955950,1,20251201
25353366,8843965,0,20251201
36999350,9590036,0,20251201
93260809,2440534,1,20251201
99071531,4230344,1,20251201
62295501,7687367,0,20251201
50233433,5634716,1,20251201
41218282,2212368,1,20251201
65120672,5252622,0,20251201
63182393,4363434,1,20251201
36527772,7649368,0,20251201
12052348,5639828,1,20251201
23634847,2259292,1,20251201
96270328,1445229,1,20251201
47633941,3585736,1,20251201
53407308,2410873,0,20251201
52039679,8886518,1,20251201
80446169,3440044,1,20251201
15846090,6710453,1,20251201
17445699,2147880,0,20251201
34826251,4975430,1,20251201
53799249,9406865,1,20251201
70401162,6790937,0,20251201
54163628,3594872,1,20251201
49705126,7729017,1,20251201
24491704,5510544,0,20251201
61455524,3115947,1,20251201
58802019,9968807,1,20251201
52614045,9438279,0,20251201
82683768,6099783,1,20251201
34027809,1298607,0,20251201
95839556,4703461,0,20251201
